,g_drugless,ic50,n_mut
0,1.3627516148461596,-2.371481248647491,0
1,0.9803154614305452,1.3607943913307972,1
2,0.8016691671074934,0.2572909009409457,1
3,0.9698529281371511,2.373571222753227,2
4,1.1135593536362647,-0.05171037347135157,1
5,0.8729657143524354,3.0593056817723987,2
6,0.9955621249095897,0.1642388361860929,2
7,0.7698892731243383,3.122214696092851,3
8,1.2035268665817789,-0.16218461026066297,1
9,0.8418903473143395,2.362604106893952,2
10,0.912123156608881,-0.24883351715330815,2
11,0.969491136083336,2.3739877834715157,3
12,1.0695709956873412,0.9734697969269196,2
13,0.8705459619273597,0.6567900331395309,3
14,0.5926352603517504,0.9833124118503661,3
15,0.8255034746003973,2.6687778998088434,4
